model,season,pr_demise,pr_duration,pr_integrated_amount,pr_onset,pr_peak_amount,pr_peak_timing,pr_seas_ratio,dmi_amount,dmi_timing,hus1000_amount,hus1000_timing,hus850_amount,hus850_timing,mse1000_amount,mse1000_timing,mse850_amount,mse850_timing,tos_amount,tos_timing,ua250_amount,ua250_timing,ua250e_amount,ua250e_timing,wap250_amount,wap250_timing,wap500_amount,wap500_timing,dmi_amount_corr,dmi_timing_corr,hus1000_amount_corr,hus1000_timing_corr,hus850_amount_corr,hus850_timing_corr,mse1000_amount_corr,mse1000_timing_corr,mse850_amount_corr,mse850_timing_corr,tos_amount_corr,tos_timing_corr,ua250_amount_corr,ua250_timing_corr,ua250e_amount_corr,ua250e_timing_corr,wap250_amount_corr,wap250_timing_corr,wap500_amount_corr,wap500_timing_corr
BCC-ESM1,long,162.4,64.6,233.18792898891846,97.8,9.415882450412028e-05,124.8,0.49723769313236604,0.6103890538215637,130.0,0.014479869976639748,143.0,0.012555885128676891,137.0,340241.3125,136.0,337922.6875,136.0,29.642292022705078,135.0,3.138901472091675,126.0,1.6223955154418945,129.0,-0.004454879090189934,140.0,-0.01705910824239254,143.0,-0.21928192834268434,0.15150767585486613,0.5657785787801765,0.5313456968859785,0.4977360814319294,0.47403077524121906,0.36597743639410024,0.44579720121128585,0.2824017853271741,0.24077923829210263,0.22524301818182413,0.02153353633842179,-0.005190942256280848,0.02273259045559263,0.12835608846616214,0.11073733899720342,-0.5272450669692391,-0.1039491933993307,-0.8102100570467607,0.7111093934723152
BCC-ESM1,short,352.9,97.7,388.8681351412378,255.2,9.93979920167476e-05,306.2,0.49723769313236604,1.551632285118103,288.0,0.014385280199348927,308.0,0.012462208978831768,306.0,339346.9375,306.0,337109.8125,305.0,28.940847396850586,332.0,1.6223719120025635,286.0,-0.2750278413295746,286.0,-0.002064154716208577,331.0,-0.02209862321615219,307.0,0.4352559995690948,-0.10326171454005495,0.7772413035398766,0.6488624789639665,0.6590305062192312,0.545145602774645,0.6323144172216751,0.4714027388034742,0.4184036358166013,0.3916592091283399,0.1529874543356222,-0.12631682269989622,-0.39640288389138456,0.055087990625239364,0.10025570287545138,-0.07547833171446139,-0.6841855837940987,0.3758089257333662,-0.7296902733927152,0.602857607744119
CESM2,long,164.52845528455285,63.9349593495935,181.25412146456011,100.59349593495935,6.260919184480771e-05,135.01626016260164,0.44132224247196555,0.04344569891691208,136.0,0.018792252987623215,142.0,0.012374969199299812,151.0,345538.34375,141.0,337592.5625,150.0,30.289215087890625,130.0,3.399789810180664,131.0,2.5975234508514404,129.0,0.0019584770780056715,135.0,-0.00290144351311028,136.0,0.2796520600785838,-0.04770778348299323,0.6457773154230978,0.33784469623957597,0.7346900133279466,0.31111720029626644,0.6146370448730369,0.3629687993248862,0.6756986356685583,0.20881953317910976,0.5559474992523978,0.08135806412387372,-0.01792545621576045,0.12696105876172728,-0.21141704840040632,-0.002762322149829674,-0.6640635170441987,0.49807087926581084,-0.7707557121565739,0.41000785060923317
CESM2,short,358.0975609756098,75.88617886178862,220.8416246266929,282.2113821138211,6.87087144982117e-05,318.3658536585366,0.44132224247196555,0.3134438693523407,270.0,0.017649659886956215,347.0,0.011459858156740665,322.0,341774.84375,348.0,333481.6875,291.0,28.777578353881836,364.0,3.8541929721832275,306.0,2.9951012134552,310.0,0.013505727052688599,315.0,0.002065403386950493,323.0,0.720025354123258,0.3393948251583775,0.7271573405378059,0.37695630459447194,0.7077473420447805,0.23432611890799743,0.6927290055494602,0.12740195584898495,0.6105283002757985,0.3767934907380608,0.6474434160554574,0.21427310526969578,-0.1945587740468521,0.0866666160702304,-0.07452692609437059,-0.16358342689537225,-0.6718611198485521,0.2077384720079664,-0.8768371130776269,0.3462433846262817
CESM2-FV2,long,168.68965517241378,49.55172413793103,134.29892971563308,119.13793103448276,5.379002583328562e-05,146.3448275862069,0.6855030369770738,-0.09225218743085861,148.0,0.017235180363059044,145.0,0.01173009816557169,154.0,341040.84375,146.0,334336.9375,153.0,29.52613067626953,130.0,4.672945976257324,141.0,5.27347993850708,138.0,0.004822923801839352,156.0,-0.003611986758187413,152.0,-0.13568459169498526,0.34399439788620506,-0.2476832747109981,0.354678166219976,0.5638426024503427,0.489915355373343,-0.34917284386221215,0.3041866814468352,-0.12286254930039017,0.5399864801952624,0.09086898628747153,0.4373601505651413,-0.25458038154063833,-0.03890986249437112,-0.22923644580214203,-0.14001252465325648,-0.7157676292269823,-0.11950018129649374,-0.7734381719526121,0.08295100036626306
CESM2-FV2,short,368.44827586206895,89.93103448275862,325.5899189377958,278.51724137931035,8.611969804343093e-05,316.82758620689657,0.6855030369770738,-0.0920129045844078,263.0,0.016482220962643623,338.0,0.011215539649128914,334.0,336363.21875,337.0,331290.65625,295.0,28.009632110595703,364.0,1.6625090837478638,306.0,0.41796231269836426,303.0,0.004630758427083492,334.0,-0.014007124118506908,335.0,0.772554125292219,-0.31105384047664897,0.6698821064571128,0.1965965749979889,0.8866744193257186,0.4907650687820135,0.617571323457375,0.17718813852602738,0.8575697423004633,0.4980061185956877,0.7387631858576479,0.2715761582194325,-0.10983091514641116,0.004588336731569175,0.1528089141314697,-0.2990692333236782,-0.8727865024901565,0.27905752934697753,-0.9456786655375232,0.49337674236256435
CESM2-WACCM,long,172.0,75.08333333333333,238.8597178230529,96.91666666666667,7.242749890489601e-05,127.21666666666667,0.46590118304663986,0.007007262669503689,143.0,0.01842292584478855,144.0,0.012521609663963318,151.0,344551.8125,137.0,337912.71875,151.0,30.06104278564453,131.0,3.281571865081787,131.0,3.905454635620117,133.0,-0.006254694890230894,127.0,-0.010531746782362461,126.0,-0.23366705583031325,0.3533386257434952,0.2714194890476233,0.3972608022423765,0.633675243630405,0.5350085928187459,0.19415978663081143,0.39170912777628336,0.42646637338401305,0.5318953346856097,0.05555009129298375,0.1278757578921841,0.20102635067043373,0.26462444540561714,-0.13067559296246045,0.05866367027835593,-0.8218048233601091,0.3162317410631623,-0.8173355903185348,0.7844015735015237
CESM2-WACCM,short,346.04347826086956,68.65217391304348,184.70344469038557,277.39130434782606,6.566528697832204e-05,313.46086956521737,0.46590118304663986,-0.26210451126098633,320.0,0.01714961603283882,345.0,0.011457588523626328,299.0,340694.21875,346.0,334258.875,298.0,28.565141677856445,358.0,3.450502872467041,312.0,2.64921498298645,311.0,0.011520277708768845,335.0,0.006981156766414642,310.0,0.8347457039617441,-0.2739651340306156,0.691742781176551,0.3222956021975855,0.8263516428966072,0.3631695074430075,0.6654530566403546,0.39625690589326934,0.76912725266424,0.3937098892502116,0.6771417240563495,0.0841703161821375,-0.09935669203033808,-0.3885287139589772,0.11433334232715549,-0.27773612826881505,-0.7492334406088803,0.4371420153913396,-0.893640929078561,0.38130377428594026
CESM2-WACCM-FV2,long,174.96666666666667,55.833333333333336,152.96009019381017,119.13333333333334,5.383815408398125e-05,148.33333333333334,0.6108713581783903,0.21301375329494476,162.0,,,,,,,,,29.719661712646484,135.0,,,,,0.006320700515061617,140.0,0.0013857639860361814,140.0,-0.08852666925138475,-0.20144891447062707,,,,,,,,,0.1998009596127108,-0.29697998443549206,,,,,-0.6696776086974083,0.3551825200816957,-0.712036615633009,0.42204442394976116
CESM2-WACCM-FV2,short,371.5,86.43333333333334,317.73353830179985,285.06666666666666,7.734001937933498e-05,305.5,0.6108713581783903,0.5527743101119995,280.0,,,,,,,,,28.237272262573242,364.0,,,,,0.010595997795462608,352.0,-0.0031158197671175003,331.0,0.6812010509749041,0.07474556431238885,,,,,,,,,0.25787200464401994,0.212936759290437,,,,,-0.8254248652030234,0.11715100310829962,-0.7912884614160786,-0.012099657204342432
